l_mean,l_std,t_mean,t_std,count,class
1514.0,0.0,0.00053515146725141821,0.00034108710075277099,0,2
1514.0,0.0,0.00053377846377578812,0.00030974912462902791,0,2
1514.0,0.0,0.00056748653776082564,0.00034224918566506674,0,2
1514.0,0.0,0.00052436152894293241,0.00039722614636173397,0,2
1514.0,0.0,0.00052661272748630848,0.00033920653692344867,0,2
1514.0,0.0,0.000540684215986549,0.0004386331819741467,0,2
1514.0,0.0,0.00053175849531164122,0.00039895232428607076,0,2
1514.0,0.0,0.00053830721869540577,0.00041061433758186498,0,2
1514.0,0.0,0.00055422135932960701,0.00042524683108931716,0,2
1514.0,0.0,0.0005568439636997242,0.00036822423185086598,0,2
1514.0,0.0,0.00052959835109998236,0.00031181796042940927,0,2
1514.0,0.0,0.00052659236007000332,0.00030558570587456668,0,2
1514.0,0.0,0.00057160315202109174,0.0005182538204247675,0,2
1514.0,0.0,0.00056776928542247372,0.00054464012196728956,0,2
1514.0,0.0,0.00054726169336980315,0.0004315876098145677,0,2
1514.0,0.0,0.00051917023395174112,0.0003044524270060292,0,2
1514.0,0.0,0.0005438088172644227,0.00041721119282275696,0,2
1514.0,0.0,0.00051931640011581345,0.0003266200705891874,0,2
1514.0,0.0,0.00052646656132223615,0.00033260784185895793,0,2
1514.0,0.0,0.00051460314036613731,0.00031477641177296469,0,2
1514.0,0.0,0.00052593461233167791,0.00032101543953249033,0,2
1514.0,0.0,0.00051802007397215566,0.00031058088451131524,0,2
1514.0,0.0,0.00058059356919485121,0.0005838591616015615,0,2
1514.0,0.0,0.00056606561095271283,0.00052191979439812142,0,2
1514.0,0.0,0.00056631601036493502,0.0005038353826523793,0,2
1514.0,0.0,0.00056733198501356878,0.00053554984823411984,0,2
1514.0,0.0,0.00052680921314948769,0.00032570383080736485,0,2
1514.0,0.0,0.00052171855715651006,0.00031951268577552885,0,2
1514.0,0.0,0.00052435074619312382,0.00032765028110011619,0,2
1514.0,0.0,0.00053429124343335333,0.00037571165496902458,0,2
1514.0,0.0,0.00054784396185946827,0.00038892970518690316,0,2
1514.0,0.0,0.00057394540489618502,0.00053315391315268191,0,2
1514.0,0.0,0.00056036153630395632,0.00049402881909843814,0,2
1514.0,0.0,0.00054272335378368892,0.0004735483391903516,0,2
1514.0,0.0,0.00054688908945974988,0.00043429722153371649,0,2
1514.0,0.0,0.00053321536461911612,0.00037755689463420458,0,2
1514.0,0.0,0.00053284994920893526,0.00031381344686518681,0,2
1514.0,0.0,0.00052658756773675509,0.0003264043907132516,0,2
1514.0,0.0,0.00052067862084163494,0.00031262739630635649,0,2
1514.0,0.0,0.00052746696088781309,0.00033435321174433795,0,2
1514.0,0.0,0.00053554324049446449,0.00036432191574178348,0,2
1514.0,0.0,0.00051815066505317116,0.0003179305976538638,0,2
1514.0,0.0,0.00053894939135067424,0.00037499614209740887,0,2
